,User,Rating,Review,Product_Url
0,"MistressMuhdee
Age over 54
Eye Color Blue
Hair color Brunette
Skin Tone Porcelain
Skin Type Normal",5 stars,"Oh. My. Fat. Little. Baby Gosh!!! Every Christmas, my sister and I exchange boxes of little goodies we know the other might like. I received this little bottle of elixir pulled straight from the fountain of youth, and HOLY GRAIL! Although a tad pricey, a little bit goes a very long way. Having said that, this product does indeed do exactly what it claims. The first week of use, it most certainly did pull all of the impurities to the top and I have NEVER had such horrendous acne ads I did that first week. After soldiering through that nightmare of pimplistic proportions, my skin has regained its youthful, plump, amazingly soft complexion, AND I noticed an exorbitant difference in the fine lines on my forehead, beside my mouth, under eyes, and crow's feet almost immediately, definitely after 2 uses. Definitely follow the directions and only use every other day or it will dry thre crap out od your skin. This is now going to be a must have staple. LOVE!!!
…read more",https://www.sephora.com/product/liquid-gold-with-glycolic-acid-P440949?icid2=products%20grid:p440949
1,"awf1160
Eye Color Blue
Hair color Brunette
Skin Tone Porcelain
Skin Type Combination",5 stars,"I bought this product about 3 weeks ago. I don’t know why I purchased it to be quite honest. I think I saw one of my fave beauty bloggers say she liked it... but usually I am always drawn to products that can claim they can clear up my skin. This does not promote that and that’s why I have been shocked on how smooth and even my skin has been looking!! I still have some breakouts but they are absolutely minimized. My skin isn’t as red. It appears less irritated and more hydrated. I am excited to see what I see after using Alpha H Liquid Gold for the next few months! For those hesitant to purchase, I have super fair, sensitive skin and prone to breakouts - no irritation other than I felt the first week it drew all impurities to the surface. Once those cleared, my skin has been totally different - in a good way!
…read more",https://www.sephora.com/product/liquid-gold-with-glycolic-acid-P440949?icid2=products%20grid:p440949
2,"richiefbaby
Eye Color Brown
Skin Tone Tan
Skin Type Combination",1 star,This product is gross... I thought this was a good product after use my skin was irritated the liquid gold was not anything special. Would not purchase.,https://www.sephora.com/product/liquid-gold-with-glycolic-acid-P440949?icid2=products%20grid:p440949
3,"Envynoone
Eye Color Blue
Hair color Brunette
Skin Tone Fair
Skin Type Dry",5 stars,"I am obsessed with skincare. I have used tons of different glycolic products ranging from medical grade to brands you can find here at Sephora. This blew me away! Though it is hard for me to resist skipping on other beloved products, I followed the directions and used this alone after cleansing. I woke up to bright skin that was velvety smooth. I’ve used it a few more times and it continues to deliver. I am not sure what is different about this glycolic product but it WORKS and isn’t that all we really want?!
…read more",https://www.sephora.com/product/liquid-gold-with-glycolic-acid-P440949?icid2=products%20grid:p440949
4,"Leica2021
Eye Color Brown
Hair color Black
Skin Tone Light
Skin Type Combination",5 stars,"I LOVE this product! I have over 15 different skin care products like Drunk Elephant, Tatcha, Orgins and more. I was skeptical about this product because I didn’t have an sign of aging and dark spots, but I did have acne. The first few times of using it, it burned/ tingled but the next day, I had rejuvenated skin. I’ve been using my first bottle for over 4 months and I still got a ways to go. I recommend using it every other day for two weeks and then using it ever three days. I find that once I got the results of flawless glowing skin, I didn’t need to use it as much.
…read more",https://www.sephora.com/product/liquid-gold-with-glycolic-acid-P440949?icid2=products%20grid:p440949
5,"christyma21
Received free product
Eye Color Blue
Hair color Blonde
Skin Tone Medium
Skin Type Dry",5 stars,Works great at exfoliating but very gently You may feel a slight tingle but they said on the box it’s normal nothing extreme works great,https://www.sephora.com/product/liquid-gold-with-glycolic-acid-P440949?icid2=products%20grid:p440949
6,"lauren198611
Received free product
Eye Color Hazel
Hair color Brunette
Skin Tone Light
Skin Type Normal",5 stars,"Absolutely love this stuff. I’ve been using another product to try to fade a sunspot on my forehead, and this has noticeably lightened it in a MUCH shorter period of time. I love that every other night it’s the only product I have to use after cleansing. My skin feels amazing when I wake up. A little pricey but will definitely continue to purchase. I received this product complimentary for testing purposes.",https://www.sephora.com/product/liquid-gold-with-glycolic-acid-P440949?icid2=products%20grid:p440949
7,"hrost
Received free product
Eye Color Hazel
Hair color Blonde
Skin Tone Medium
Skin Type Combination",3 stars,"This product was okay. Saw decent results, but not enough for the price tag.",https://www.sephora.com/product/liquid-gold-with-glycolic-acid-P440949?icid2=products%20grid:p440949
8,"chloechaos
Received free product
Eye Color Hazel
Hair color Blonde
Skin Tone Fair
Skin Type Combination",5 stars,"This is so great, literally the only thing that would be better is if it had a little spray cap on it. This is a great toner and I had loved adding it to my routine",https://www.sephora.com/product/liquid-gold-with-glycolic-acid-P440949?icid2=products%20grid:p440949
9,"Rosaiselaxo
Received free product
Eye Color Brown
Hair color Brunette
Skin Tone Fair
Skin Type Oily",5 stars,I received this as a complimentary gift from Influenster and am writing this review on behalf of my mother. I didn’t use this because I didn’t feel I needed it based of concerns of aging but she was more than happy To try it out and she loves it! She says she’s noticed a big difference in her skin and is super happy overall,https://www.sephora.com/product/liquid-gold-with-glycolic-acid-P440949?icid2=products%20grid:p440949
